№	Дата/время	Температура	Осадки (мм)
1	2025-05-18T00:00	13,3°C	0,00 мм
2	2025-05-18T01:00	13,0°C	0,00 мм
3	2025-05-18T02:00	12,6°C	0,00 мм
4	2025-05-18T03:00	12,5°C	0,00 мм
5	2025-05-18T04:00	12,5°C	0,00 мм
6	2025-05-18T05:00	13,0°C	0,00 мм
7	2025-05-18T06:00	14,3°C	0,00 мм
8	2025-05-18T07:00	15,7°C	0,00 мм
9	2025-05-18T08:00	17,7°C	0,00 мм
10	2025-05-18T09:00	18,9°C	0,00 мм
11	2025-05-18T10:00	20,1°C	0,00 мм
12	2025-05-18T11:00	21,2°C	0,00 мм
13	2025-05-18T12:00	21,6°C	0,00 мм
14	2025-05-18T13:00	21,6°C	0,00 мм
15	2025-05-18T14:00	20,6°C	0,00 мм
16	2025-05-18T15:00	21,5°C	0,00 мм
17	2025-05-18T16:00	19,8°C	0,00 мм
18	2025-05-18T17:00	19,6°C	0,00 мм
19	2025-05-18T18:00	18,8°C	0,00 мм
20	2025-05-18T19:00	16,1°C	0,00 мм
21	2025-05-18T20:00	14,6°C	0,10 мм
22	2025-05-18T21:00	13,5°C	0,10 мм
23	2025-05-18T22:00	12,6°C	0,30 мм
24	2025-05-18T23:00	11,9°C	0,40 мм
